px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.33991	-4.90555	-2.78745	2.24524	0.602282	7.31379	-5.05204	7.25	-5	1.81907	-2.72861	2.51848	R
7.40147	-5.05989	-2.80225	2.24179	0.564223	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	1.12155	L
7.47396	-5.1826	-2.76746	2.25321	0.539684	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.16856	R
7.53558	-5.34093	-2.78537	2.24361	0.498383	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	1.25391	L
7.62212	-5.46659	-2.77315	2.25962	0.483908	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.512968	R
7.69846	-5.60653	-2.78164	2.26294	0.459504	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0.414101	L
7.77319	-5.72239	-2.73945	2.27139	0.438171	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	1.24506	R
7.83427	-5.87188	-2.74787	2.25791	0.398975	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	1.03805	L
7.94977	-6.00366	-2.86827	2.2911	0.424333	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	8.13036	R
8.01776	-6.14586	-2.88231	2.27994	0.390248	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0.814135	L
8.11023	-6.26831	-2.85245	2.29013	0.374937	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.23555	R
8.19768	-6.40459	-2.8585	2.29201	0.355262	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0.243935	L
8.27899	-6.51865	-2.81384	2.29754	0.337847	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.30919	R
8.34613	-6.66928	-2.82029	2.27866	0.298821	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0.926669	L
8.43466	-6.78778	-2.80753	2.28667	0.28956	8.25647	-6.78122	8.35	-6.85	1.81994	-1.81993	0.394816	R
8.51225	-6.92292	-2.80776	2.27983	0.266043	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0.359644	L
8.58561	-7.02727	-2.77676	2.28218	0.252935	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.782973	R
8.64076	-7.1669	-2.78235	2.25823	0.215119	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0.905989	L
8.75081	-7.29504	-2.87605	2.27687	0.230518	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	5.14629	R
8.81082	-7.44311	-2.88711	2.25096	0.191778	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0.972988	L
8.87657	-7.55907	-2.79174	2.23859	0.160022	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	6.18633	R
8.93808	-7.70612	-2.79245	2.21593	0.127611	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0.686108	L
9.01762	-7.82361	-2.80144	2.21757	0.123604	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.250062	R
9.06317	-7.96906	-2.80559	2.18618	0.0850241	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0.972082	L
9.10271	-8.08059	-2.68941	2.15999	0.0426738	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	7.76328	R
9.15361	-8.22198	-2.68613	2.13622	0.0159714	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.56663	L
9.23129	-8.34468	-2.71655	2.13886	0.0209145	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.592963	R
9.26409	-8.48982	-2.72063	2.1031	-0.0164821	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0.976808	L
9.30366	-8.61343	-2.64007	2.07359	-0.0559199	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	4.39909	R
9.34219	-8.7563	-2.63702	2.0455	-0.0813043	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.56473	L
9.48499	-8.90128	-2.85398	2.10955	0.0191247	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	31.3765	R
9.52327	-9.05941	-2.87063	2.07479	-0.0167333	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0.917789	L
9.56464	-9.18065	-2.81063	2.0511	-0.0482636	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	2.65778	R
9.60575	-9.32161	-2.8149	2.02794	-0.0692103	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.313074	L
9.64079	-9.44283	-2.76655	2.00368	-0.0972733	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.74719	R
