px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	9.04472e-318	L
0.0272406	-0.0272406	0	0	0	0	0	0	0	0	0	1.76399	R
1.53535	-0.119231	1.33304	-1.38778e-17	2.77556e-17	1.55944	-0.138501	2.09897	0.0522228	2.19595	0.109339	1.73584	L
1.61513	0.020713	1.74963	-0.0508418	-0.0287049	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	3.48041	R
3.87573	-0.129791	2.15279	-0.143867	-0.092739	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	1.26197	L
3.9482	0.0718336	2.53696	0.164579	0.129447	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	4.32087	R
6.82117	0.407847	3.30051	0.175285	0.0970094	6.86352	0.416818	6.56942	0.496096	2.36382	0.348847	1.84838	L
6.74294	0.435973	3.1731	0.223387	0.150573	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	1.46708	R
9.07216	0.59708	3.19361	-0.221795	-0.22873	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.230923	L
9.03811	0.663555	3.11794	-0.17394	-0.213251	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.19278	R
11.5652	1.65919	2.98438	0.591129	0.326875	11.5755	1.6669	11.3468	1.427	2.49328	0.600781	0.860586	L
11.5404	1.62287	2.96312	0.574439	0.323313	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.516255	R
13.6027	2.33001	2.46653	0.356495	-0.0151186	13.5921	2.31191	13.827	2.07904	2.5429	0.724947	0.677471	L
13.621	2.29999	2.62281	0.311053	-0.0801549	13.6572	1.99915	13.827	2.07904	2.5429	0.724947	0.775716	R
16.6034	2.8989	3.19506	-0.0194576	-0.24074	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	1.90816	L
16.5387	2.88467	3.03157	-0.0339986	-0.274544	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	1.01798	R
19.0092	3.69517	2.916	0.40012	0.175258	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0.604795	L
19.0771	3.71941	2.80729	0.455954	0.238904	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.40643	R
21.3211	4.73171	2.90269	0.42362	0.063017	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.165468	L
21.3797	4.74161	2.99502	0.399887	0.0364105	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	0.804323	R
24.0596	5.56701	3.22411	0.17774	-0.129585	24.0787	5.56968	24.1437	5.83295	2.65286	1.14952	0.430578	L
24.1644	5.59999	3.28166	0.163966	-0.13934	24.5601	5.92334	24.1437	5.83295	2.65286	1.14952	2.98983	R
26.6067	6.95254	3.24904	0.644583	0.256023	26.6053	6.96102	26.7833	7.01246	2.6632	1.22647	0.435285	L
26.5939	6.9451	3.33049	0.613796	0.2072	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.0808975	R
29.5623	8.0826	3.48362	0.238988	-0.173287	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0.862191	L
29.5461	8.07653	3.29208	0.229231	-0.188564	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.231767	R
31.9436	9.86883	3.28589	0.84303	0.328435	31.9416	9.88017	32.0955	9.56901	2.67104	1.33358	0.745518	L
31.8996	9.84482	3.33343	0.803814	0.27189	31.7928	9.49891	32.0955	9.56901	2.67104	1.33358	0.681233	R
34.6171	10.7237	2.62698	0.216163	-0.285714	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	1.65884	L
34.7189	10.7753	2.99315	0.226988	-0.244246	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.79372	R
37.1367	12.0776	3.04537	0.62174	0.168651	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0.511588	L
37.2157	12.0995	3.25336	0.585719	0.101232	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.61341	R
40.2934	13.4538	3.69202	0.237693	-0.193927	40.3285	13.4666	40.0971	13.6505	2.66232	1.36458	1.3946	L
